title:club, start timestamp:1605176588.540698, stop timestamp:1605176650.181420, headset type:EPOCPLUS, headset serial:3B9AEC95, headset firmware:625, channels:108, sampling rate:eeg_128;pow_8, samples:7822      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1605176588.540698,81.000000,0.000000,4157.179688,4158.717773,4173.333496,4170.512695,4162.563965,4166.410156,4156.538574,4160.641113,4154.743652,4206.538574,4138.974121,4199.615234,4160.769043,4124.743652,2347.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.548479,82.000000,0.000000,4147.179688,4150.128418,4159.743652,4163.461426,4154.358887,4159.871582,4141.538574,4146.282227,4146.153809,4187.563965,4131.538574,4188.205078,4156.922852,4116.025879,3226.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.556460,83.000000,0.000000,4143.333496,4139.871582,4154.102539,4155.256348,4148.717773,4150.897461,4136.410156,4136.922852,4138.717773,4170.641113,4122.307617,4183.333496,4151.922852,4112.692383,2882.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.564342,84.000000,0.000000,4146.794922,4142.179688,4156.410156,4151.666504,4150.641113,4149.358887,4136.025879,4135.256348,4141.410156,4163.333496,4118.846191,4187.563965,4154.358887,4117.692383,2187.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.572323,85.000000,0.000000,4157.179688,4153.589844,4159.230957,4157.179688,4152.948730,4158.974121,4141.794922,4142.307617,4148.461426,4170.256348,4122.820313,4195.384766,4167.436035,4125.128418,2347.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.580204,86.000000,0.000000,4161.153809,4160.769043,4167.051270,4166.282227,4152.692383,4165.512695,4149.102539,4147.307617,4148.717773,4184.102539,4130.128418,4200.000000,4175.641113,4131.153809,3226.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.588185,87.000000,0.000000,4163.846191,4167.307617,4176.025879,4171.538574,4154.871582,4165.641113,4147.436035,4141.282227,4146.282227,4195.384766,4137.563965,4202.307617,4177.051270,4136.025879,2882.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.596066,88.000000,0.000000,4163.846191,4171.666504,4171.922852,4166.410156,4157.563965,4165.000000,4141.538574,4138.461426,4148.846191,4197.563965,4138.846191,4202.179688,4174.871582,4135.256348,2187.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,9.234120,0.722867,0.620204,0.786023,0.329112,1.022716,0.806693,0.826095,0.485029,0.342677,0.919267,0.521541,0.642359,0.608920,0.420513,0.444347,0.584103,0.738649,0.726414,0.532188,0.236503,0.264626,0.151274,0.124329,0.166987,0.460108,0.380362,0.220733,0.156793,0.244695,1.436707,1.257414,0.701777,0.468551,0.370723,1.076140,1.187561,0.442698,0.259454,0.275908,0.129015,0.126555,0.120809,0.080163,0.075921,4.296386,3.294117,1.421893,0.893497,0.522324,0.896158,0.562867,0.334289,0.208494,0.161907,0.489909,0.421210,0.216135,0.211728,0.163548,0.501117,0.990788,0.377541,0.238324,0.280232,1.556846,0.451833,0.198069,0.176604,0.265615
1605176588.604046,89.000000,0.000000,4147.179688,4158.461426,4157.051270,4151.538574,4158.205078,4157.820313,4131.922852,4137.051270,4146.922852,4181.794922,4127.563965,4196.410156,4162.563965,4126.282227,2347.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605176588.611927,90.000000,0.000000,4140.512695,4148.205078,4153.846191,4153.846191,4156.538574,4152.820313,4129.102539,4133.974121,4142.948730,4173.846191,4122.563965,4193.333496,4156.794922,4121.922852,3226.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
